Seq_ID,Original_ID,Individual,Status,Sample_Sex,SDR_Coverage,SDR_Depth,Genetic_Sex
18032FL-129-03-26,1,BB_AK_13A_1,This Study,Male,83.52,3.15809,Male
22116FL-09Q2-02-06,1,BB_AK_13A_1,This Study,Male,45.33,0.876914,Male
18032FL-158-01-27,2,BB_AK_13A_2,This Study,Male,35.16,0.708392,Male
22116FL-04-01-30,2,BB_AK_13A_2,This Study,Male,85.15,4.93151,Male
22116FL-09-01-27,2,BB_AK_13A_2,This Study,Male,34.09,0.690503,Male
18032FL-158-01-34,3,BB_AK_13A_3,This Study,Female,0.01,0.000122175,Female
22116FL-04-01-13,3,BB_AK_13A_3,This Study,Female,0.21,0.00495262,Female
22116FL-09-01-34,3,BB_AK_13A_3,This Study,Female,0.01,0.000105376,Female
18032FL-129-02-01,4,BB_AK_13A_4,This Study,Male,95.01,7.28309,Male
18032FL-158-01-30,5,BB_AK_13A_5,This Study,Female,0.05,0.00067097,Female
22116FL-04-01-35,5,BB_AK_13A_5,This Study,Female,0.22,0.00569829,Female
22116FL-09-01-30,5,BB_AK_13A_5,This Study,Female,0.04,0.000539591,Female
18032FL-158-01-38,6,BB_AK_13A_6,This Study,Female,0.03,0.000380434,Female
22116FL-04-01-22,6,BB_AK_13A_6,This Study,Female,0.26,0.00660375,Female
22116FL-09-01-38,6,BB_AK_13A_6,This Study,Female,0.03,0.000388235,Female
18032FL-158-01-33,7,BB_AK_13A_7,This Study,Female,0.01,0.000201341,Female
22116FL-04-01-08,7,BB_AK_13A_7,This Study,Female,0.2,0.0049326,Female
22116FL-09-01-33,7,BB_AK_13A_7,This Study,Female,0.02,0.000243689,Female
18032FL-158-01-35,8,BB_AK_13_1,This Study,Female,0.02,0.00020617,Female
22116FL-04-01-16,8,BB_AK_13_1,This Study,Female,0.2,0.00503038,Female
22116FL-09-01-35,8,BB_AK_13_1,This Study,Female,0.02,0.000202579,Female
18032FL-158-01-37,9,BB_AK_13_2,This Study,Female,0.03,0.000383695,Female
22116FL-04-01-20,9,BB_AK_13_2,This Study,Female,0.28,0.00782913,Female
22116FL-09-01-37,9,BB_AK_13_2,This Study,Female,0.03,0.000398966,Female
18032FL-158-01-42,10,BB_AK_13_3,This Study,Male,15.35,0.214177,Male
22116FL-04-01-26,10,BB_AK_13_3,This Study,Male,88.66,4.78834,Male
22116FL-09-01-42,10,BB_AK_13_3,This Study,Male,14.45,0.202665,Male
18032FL-158-01-28,11,BB_AK_13_4,This Study,Male,39.13,0.760598,Male
22116FL-04-01-32,11,BB_AK_13_4,This Study,Male,86.79,4.93646,Male
22116FL-09-01-28,11,BB_AK_13_4,This Study,Male,37.94,0.734905,Male
SRR17940138_Shotgun_sequencing_of_Ursus_arctos,16,B_AK_9_pub,Public,Male,83.17,3.7231,Male
22116FL-05-01-01,110,BB_AK_26B_1,This Study,Female,0.3,0.007197,Female
18032FL-158-01-24,115,BB_AK_26B_2,This Study,Female,0.03,0.000360869,Female
22116FL-04-01-12,115,BB_AK_26B_2,This Study,Female,0.22,0.00487287,Female
22116FL-09-01-24,115,BB_AK_26B_2,This Study,Female,0,0,Female
22116FL-05-01-02,117,BB_AK_26B_3,This Study,Female,0.25,0.00685528,Female
22116FL-05-01-03,153,BB_AK_26B_4,This Study,Female,0.23,0.00494762,Female
154_S28,154,BB_AK_26B_5,This Study,Female,0.55,0.0102808,Female
22116FL-05-01-05,163,BB_AK_26B_6,This Study,Female,0.28,0.00715506,Female
22116FL-05-01-06,164,BB_AK_26B_7,This Study,Male,97.74,8.63283,Male
22116FL-05-01-07,167,BB_AK_26B_8,This Study,Female,0.26,0.005475,Female
22116FL-05-01-32,167,BB_AK_26B_8,This Study,Female,0.16,0.00286652,Female
18032FL-129-02-04,176,BB_AK_26B_9,This Study,Female,0.94,0.0153124,Female
22116FL-05-01-08,178,BB_AK_26B_10,This Study,Female,0.25,0.00674611,Female
18032FL-129-03-20,179,BB_AK_26B_11,This Study,Male,84.23,4.97851,Male
182_S29,182,BB_AK_26B_12,This Study,Male,81.29,4.65462,Male
22116FL-05-01-09,182,BB_AK_26B_12,This Study,Male,NA,NA,Male
18032FL-158-01-25,183,BB_AK_26B_13,This Study,Female,0.03,0.000475821,Female
22116FL-04-01-25,183,BB_AK_26B_13,This Study,Female,0.17,0.00329971,Female
22116FL-09-01-25,183,BB_AK_26B_13,This Study,Female,0.04,0.000494312,Female
22116FL-05-01-10,201,BB_AK_20D_1,This Study,Female,0.22,0.00558772,Female
202_S30,202,BB_AK_20D_2,This Study,Male,87.76,4.85897,Male
22116FL-05-01-11,202,NA,This Study,Male,NA,NA,Male
203_S31,203,BB_AK_20D_3,This Study,Female,0.3,0.00493243,Female
22116FL-05-01-12,203,NA,This Study,Female,NA,NA,Male
204_S32,204,BB_AK_20D_4,This Study,Female,0.86,0.0144064,Female
22116FL-05-01-13,204,NA,This Study,Female,NA,NA,Male
207_S33,207,BB_AK_20D_5,This Study,Male,90.64,8.09253,Male
22116FL-05-01-14,207,NA,This Study,Male,NA,NA,Male
208_S34,208,BB_AK_20D_6,This Study,Female,0.32,0.00597645,Female
22116FL-05-01-15,208,NA,This Study,Female,NA,NA,Male
18032FL-129-03-21,212,BB_AK_20D_7,This Study,Female,0.19,0.00428755,Female
18032FL-129-02-05,213,BB_AK_20D_8,This Study,Female,0.82,0.0133584,Female
