ID,New_ID,Group
SRR17940138_Shotgun_sequencing_of_Ursus_arctos,B_AK_9_pub,Kenai & Katmai
22116FL-01-02-51_S90_L002,BB_AK_12Z_1,Mainland Alaska
112469_merged,BB_AK_12Z_10,Mainland Alaska
104259_S36_L001,BB_AK_12Z_2,Mainland Alaska
104682_merged,BB_AK_12Z_3,Mainland Alaska
22116FL-01-02-01_S40_L002,BB_AK_12Z_4,Mainland Alaska
105140_merged,BB_AK_12Z_5,Mainland Alaska
22116FL-02-01-24_S24_L004,BB_AK_12Z_6,Mainland Alaska
GB_0105144_merged,BB_AK_12Z_7,Mainland Alaska
112389_merged,BB_AK_12Z_8,Mainland Alaska
112466_merged,BB_AK_12Z_9,Mainland Alaska
8_merged,BB_AK_13_1,Kenai & Katmai
9_merged,BB_AK_13_2,Kenai & Katmai
10_merged,BB_AK_13_3,Kenai & Katmai
11_merged,BB_AK_13_4,Kenai & Katmai
SRR830337_Uarc_EP040,BB_AK_13_pub,Mainland Alaska
3_merged,BB_AK_13A_3,Mainland Alaska
18032FL-129-02-01_S3_L001,BB_AK_13A_4,Mainland Alaska
5_merged,BB_AK_13A_5,Mainland Alaska
6_merged,BB_AK_13A_6,Mainland Alaska
7_merged,BB_AK_13A_7,Mainland Alaska
SRR17940139_Shotgun_sequencing_of_Ursus_arctos,BB_AK_14_pub,Mainland Alaska
393_merged,BB_AK_15_1,Kenai & Katmai
18032FL-129-03-22_S32_L001,BB_AK_15_2,Kenai & Katmai
398_merged,BB_AK_15_3,Kenai & Katmai
399_merged,BB_AK_15_4,Kenai & Katmai
18032FL-129-03-23_S33_L001,BB_AK_15_5,Kenai & Katmai
GRZ_brownbear_merged,BB_AK_15_pub,Kenai & Katmai
19648_merged,BB_AK_1A_1,Inside Passage
17609_merged,BB_AK_1C_1,Inside Passage
18520_merged,BB_AK_1C_2,Inside Passage
18524_merged,BB_AK_1C_3,Inside Passage
18032FL-129-03-01_S11_L001,BB_AK_1C_4,Inside Passage
18609_merged,BB_AK_1C_5,Inside Passage
21569_merged,BB_AK_1C_6,Inside Passage
17591_merged,BB_AK_1D_1,Inside Passage
17595_merged,BB_AK_1D_2,Inside Passage
17596_merged,BB_AK_1D_3,Inside Passage
18032FL-129-03-16_S26_L001,BB_AK_1D_4,Inside Passage
18032FL-129-03-17_S27_L001,BB_AK_1D_5,Inside Passage
20680_merged,BB_AK_1D_6,Inside Passage
20684_merged,BB_AK_1D_7,Inside Passage
22116FL-02-01-25_S25_L004,BB_AK_20C_1,Mainland Alaska
22116FL-02-01-22_S22_L004,BB_AK_20C_10,Mainland Alaska
105550_merged,BB_AK_20C_2,Mainland Alaska
22116FL-02-01-29_S29_L004,BB_AK_20C_3,Mainland Alaska
22116FL-01-02-16_S55_L002,BB_AK_20C_4,Mainland Alaska
22116FL-01-02-12_S51_L002,BB_AK_20C_5,Mainland Alaska
22116FL-01-02-21_S60_L002,BB_AK_20C_6,Mainland Alaska
112393_merged,BB_AK_20C_7,Mainland Alaska
22116FL-02-01-46_S46_L004,BB_AK_20C_8,Mainland Alaska
22116FL-02-01-47_S47_L004,BB_AK_20C_9,Mainland Alaska
22116FL-05-01-10_S8_L003,BB_AK_20D_1,Mainland Alaska
202_S30_L001,BB_AK_20D_2,Mainland Alaska
203_S31_L001,BB_AK_20D_3,Mainland Alaska
204_S32_L001,BB_AK_20D_4,Mainland Alaska
207_S33_L001,BB_AK_20D_5,Mainland Alaska
208_S34_L001,BB_AK_20D_6,Mainland Alaska
18032FL-129-03-21_S31_L001,BB_AK_20D_7,Mainland Alaska
18032FL-129-02-05_S7_L001,BB_AK_20D_8,Mainland Alaska
215_S35_L001,BB_AK_20D_9,Mainland Alaska
104694_merged,BB_AK_20E_1,Mainland Alaska
111856_merged,BB_AK_20E_10,Mainland Alaska
111857_merged,BB_AK_20E_11,Mainland Alaska
104696_merged,BB_AK_20E_2,Mainland Alaska
104698_merged,BB_AK_20E_3,Mainland Alaska
18032FL-129-03-08_S18_L001,BB_AK_20E_4,Mainland Alaska
111451_S39_L001,BB_AK_20E_5,Mainland Alaska
22116FL-01-02-50_S89_L002,BB_AK_20E_6,Mainland Alaska
22116FL-02-01-11_S11_L004,BB_AK_20E_7,Mainland Alaska
111459_merged,BB_AK_20E_8,Mainland Alaska
111830_merged,BB_AK_20E_9,Mainland Alaska
22116FL-01-02-46_S85_L002,BB_AK_20F_1,Mainland Alaska
112468_merged,BB_AK_20F_10,Mainland Alaska
22116FL-02-01-34_S34_L004,BB_AK_20F_2,Mainland Alaska
22116FL-02-01-35_S35_L004,BB_AK_20F_3,Mainland Alaska
22116FL-02-01-18_S18_L004,BB_AK_20F_4,Mainland Alaska
22116FL-02-01-21_S21_L004,BB_AK_20F_5,Mainland Alaska
22116FL-02-01-38_S38_L004,BB_AK_20F_6,Mainland Alaska
22116FL-02-01-40_S40_L004,BB_AK_20F_7,Mainland Alaska
22116FL-02-01-41_S41_L004,BB_AK_20F_8,Mainland Alaska
112392_merged,BB_AK_20F_9,Mainland Alaska
22116FL-01-02-45_S84_L002,BB_AK_21A_1,Mainland Alaska
111926_merged,BB_AK_21C_1,Mainland Alaska
22116FL-02-01-13_S13_L004,BB_AK_21D_1,Mainland Alaska
22116FL-01-02-41_S80_L002,BB_AK_21D_2,Mainland Alaska
22116FL-02-01-28_S28_L004,BB_AK_21D_3,Mainland Alaska
22116FL-05-01-20_S11_L003_repair,BB_AK_21D_4,Mainland Alaska
22116FL-02-01-42_S42_L004,BB_AK_21D_5,Mainland Alaska
22116FL-02-01-43_S43_L004,BB_AK_21D_6,Mainland Alaska
22116FL-02-01-45_S45_L004,BB_AK_21D_7,Mainland Alaska
SRR17940144_Shotgun_sequencing_of_Ursus_arctos,BB_AK_22_pub,Mainland Alaska
22116FL-05-01-19_S10_L003,BB_AK_22A_1,Mainland Alaska
112024_merged,BB_AK_22B_1,Mainland Alaska
105348_merged,BB_AK_23Z_1,Mainland Alaska
22116FL-02-01-12_S12_L004,BB_AK_23Z_2,Mainland Alaska
14020_GAAR_merged,BB_AK_24_1,Mainland Alaska
14024_GAAR_S43_L001,BB_AK_24_2,Mainland Alaska
14030_merged,BB_AK_24_3,Mainland Alaska
18032FL-129-03-25_S35_L001,BB_AK_24_4,Mainland Alaska
15009_GAAR_S48_L001,BB_AK_24_5,Mainland Alaska
1601_GAAR_merged,BB_AK_24_6,Mainland Alaska
1603_GAAR_merged,BB_AK_24_7,Mainland Alaska
22116FL-05-01-31_S22_L003,BB_AK_24_8,Mainland Alaska
18032FL-129-02-08_S10_L001,BB_AK_24_9,Mainland Alaska
SRR22801807_Range-wide_whole-genome_resequencing_of_the_brown_bear,BB_AK_24_pub1,Mainland Alaska
SRR22801818_Range-wide_whole-genome_resequencing_of_the_brown_bear,BB_AK_24_pub2,Mainland Alaska
SRR22801845_Range-wide_whole-genome_resequencing_of_the_brown_bear,BB_AK_24_pub3,Mainland Alaska
SRR22801856_Range-wide_whole-genome_resequencing_of_the_brown_bear,BB_AK_24_pub4,Mainland Alaska
22116FL-01-02-47_S86_L002,BB_AK_25A_1,Mainland Alaska
22116FL-01-02-32_S71_L002,BB_AK_25A_10,Mainland Alaska
22116FL-05-01-18_S9_L003,BB_AK_25A_2,Mainland Alaska
105541_merged,BB_AK_25A_3,Mainland Alaska
22116FL-02-01-27_S27_L004,BB_AK_25A_4,Mainland Alaska
22116FL-02-01-33_S33_L004,BB_AK_25A_5,Mainland Alaska
111999_merged,BB_AK_25A_6,Mainland Alaska
22116FL-02-01-17_S17_L004,BB_AK_25A_7,Mainland Alaska
22116FL-02-01-20_S20_L004,BB_AK_25A_8,Mainland Alaska
112451_merged,BB_AK_25A_9,Mainland Alaska
111867_merged,BB_AK_25D_1,Mainland Alaska
22116FL-02-01-31_S31_L004,BB_AK_25D_2,Mainland Alaska
22116FL-02-01-32_S32_L004,BB_AK_25D_3,Mainland Alaska
112022_merged,BB_AK_25D_4,Mainland Alaska
22116FL-02-01-36_S36_L004,BB_AK_25D_5,Mainland Alaska
22116FL-02-01-19_S19_L004,BB_AK_25D_6,Mainland Alaska
112116_merged,BB_AK_25D_7,Mainland Alaska
112119_merged,BB_AK_25D_8,Mainland Alaska
22116FL-02-01-39_S39_L004,BB_AK_25D_9,Mainland Alaska
22116FL-05-01-01_S1_L003_repair,BB_AK_26B_1,Mainland Alaska
22116FL-05-01-08_S7_L003,BB_AK_26B_10,Mainland Alaska
18032FL-129-03-20_S30_L001,BB_AK_26B_11,Mainland Alaska
182_S29_L001,BB_AK_26B_12,Mainland Alaska
183_merged,BB_AK_26B_13,Mainland Alaska
115_merged,BB_AK_26B_2,Mainland Alaska
22116FL-05-01-02_S2_L003,BB_AK_26B_3,Mainland Alaska
22116FL-05-01-03_S3_L003,BB_AK_26B_4,Mainland Alaska
154_S28_L001,BB_AK_26B_5,Mainland Alaska
22116FL-05-01-05_S4_L003,BB_AK_26B_6,Mainland Alaska
22116FL-05-01-06_S5_L003_repair,BB_AK_26B_7,Mainland Alaska
167_merged,BB_AK_26B_8,Mainland Alaska
18032FL-129-02-04_S6_L001,BB_AK_26B_9,Mainland Alaska
43157_brownbear_merged,BB_AK_4_pub1,Baranof & Chichagof Islands
SRR22801868_Range-wide_whole-genome_resequencing_of_the_brown_bear,BB_AK_4_pub10,Admiralty
SRR22801879_Range-wide_whole-genome_resequencing_of_the_brown_bear,BB_AK_4_pub11,Admiralty
SRR22801890_Range-wide_whole-genome_resequencing_of_the_brown_bear,BB_AK_4_pub12,Admiralty
SRR22801901_Range-wide_whole-genome_resequencing_of_the_brown_bear,BB_AK_4_pub13,Inside Passage
SRR22801902_Range-wide_whole-genome_resequencing_of_the_brown_bear,BB_AK_4_pub14,Admiralty
SRR518717_652_ABC2_Lucky,BB_AK_4_pub15,Baranof & Chichagof Islands
SRR830213_Uarc_EP050,BB_AK_4_pub16,Admiralty
56159_brownbear_merged,BB_AK_4_pub2,Baranof & Chichagof Islands
63855_brownbear_merged,BB_AK_4_pub3,Baranof & Chichagof Islands
63856_brownbear_merged,BB_AK_4_pub4,Baranof & Chichagof Islands
63863_brownbear_merged,BB_AK_4_pub5,Baranof & Chichagof Islands
63864_brownbear_merged,BB_AK_4_pub6,Admiralty
SRR1692419_Ursus_arctos_Chichagof_1,BB_AK_4_pub8,Baranof & Chichagof Islands
SRR1693624_Ursus_arctos_Chichagof_2,BB_AK_4_pub9,Baranof & Chichagof Islands
17611_merged,BB_AK_4Z_1,Baranof & Chichagof Islands
