ArrayTaskID	Interval	DBName
1	NW_026623050.1	Chr36
2	NW_026623053.1	Chr35
3	NW_026623030.1	Chr34
4	NW_026623008.1	Chr33
5	NW_026623019.1	Chr32
6	NW_026622997.1	Chr31
7	NW_026622986.1	Chr30
8	NW_026622974.1	Chr29
9	NW_026622963.1	Chr28
10	NW_026622952.1	Chr27
11	NW_026622941.1	Chr26
12	NW_026622930.1	Chr25
13	NW_026622919.1	Chr24
14	NW_026622908.1	Chr23
15	NW_026622886.1	Chr22
16	NW_026622875.1	Chr21
17	NW_026622863.1	Chr20
18	NW_026622852.1	Chr19
19	NW_026622841.1	Chr18
20	NW_026622897.1	Chr17
21	NW_026622830.1	Chr16
22	NW_026622819.1	Chr15
23	NW_026622808.1	Chr14
24	NW_026622797.1	Chr13
25	NW_026622786.1	Chr12
26	NW_026622775.1	Chr11
27	NW_026622764.1	Chr10
28	NW_026623111.1	Chr9
29	NW_026623100.1	Chr8
30	NW_026623089.1	Chr7
31	NW_026623078.1	Chr6
32	NW_026623067.1	Chr5
33	NW_026623056.1	Chr4
34	NW_026622985.1	Chr3
35	NW_026622874.1	Chr2
36	NW_026622763.1	Chr1
